ID;Name;Abk.;Region;Name (Abk.)
33604;Ski-Club Ruhpolding e.V.;SCRU;BAY;Ski-Club Ruhpolding e.V. (SCRU)
24482;SV Hof 1911 e.V.;SVHO;BAY;SV Hof 1911 e.V. (SVHO)
35556;SV Pang 1950 e.V.;SVPA;BAY;SV Pang 1950 e.V. (SVPA)
24488;TEV Miesbach e.V.;TEVM;BAY;TEV Miesbach e.V. (TEVM)
42995;TSV 1846 Nürnberg e.V.;TSVN;BAY;TSV 1846 Nürnberg e.V. (TSVN)
24492;TSV 1847 Schwaben Augsburg e.V.;TSVSA;BAY;TSV 1847 Schwaben Augsburg e.V. (TSVSA)
41442;TSV Erding 1862 e.V.;TSVERD;BAY;TSV Erding 1862 e.V. (TSVERD)
30381;TSV Haunstetten 1892 e.V.;TSVH;BAY;TSV Haunstetten 1892 e.V. (TSVH)
24494;TSV Königsbrunn e.V.;TSVK;BAY;TSV Königsbrunn e.V. (TSVK)
26806;TSV Waldkirchen e.V.;TSVW;BAY;TSV Waldkirchen e.V. (TSVW)
26708;TuS Bad Aibling 1861 e.V.;TUSBA;BAY;TuS Bad Aibling 1861 e.V. (TUSBA)
48027;TuSpo Nürnberg;TUSPO;BAY;TuSpo Nürnberg (TUSPO)
33894;TV Freyung e.V.;TVF;BAY;TV Freyung e.V. (TVF)
31890;TV Passau 1862 e.V.;TVPAS;BAY;TV Passau 1862 e.V. (TVPAS)
35449;VER Selb e.V.;VERS;BAY;VER Selb e.V. (VERS)
27846;VfL Waldkraiburg e.V.;VFLWA;BAY;VfL Waldkraiburg e.V. (VFLWA)
28705;Wanderers e.V. Germering;WAND;BAY;Wanderers e.V. Germering (WAND)
38154;Weiß-Blau Casino 84 Memmingen e.V.;WBCM;BAY;Weiß-Blau Casino 84 Memmingen e.V. (WBCM)
24510;WSV 1909 Aschaffenburg e.V.;WSVA;BAY;WSV 1909 Aschaffenburg e.V. (WSVA)
24508;Würzburger ERV e.V.;WERV;BAY;Würzburger ERV e.V. (WERV)
38607;Berliner Schlittschuh-Club e.V.;BSC;BER;Berliner Schlittschuh-Club e.V. (BSC)
24362;Berliner Sportverein 1892 e.V.;BSV92;BER;Berliner Sportverein 1892 e.V. (BSV92)
25695;Berliner Turn- u. Sportclub e.V.;BTSC;BER;Berliner Turn- u. Sportclub e.V. (BTSC)
24460;Neuköllner Sportfreunde 1907 e.V.;NSF;BER;Neuköllner Sportfreunde 1907 e.V. (NSF)
24472;Sport Club Charlottenburg e.V.;SCC;BER;Sport Club Charlottenburg e.V. (SCC)
25696;Sportclub Berlin e.V.;SCBE;BER;Sportclub Berlin e.V. (SCBE)
24507;Weddinger ERC e.V. Berlin;WERC;BER;Weddinger ERC e.V. Berlin (WERC)
28058;ATSV 1860 Bremen;ATSV;BRE;ATSV 1860 Bremen (ATSV)
24409;ERB Bremen e.V.;ERBB;BRE;ERB Bremen e.V. (ERBB)
24465;REV Bremerhaven e.V.;REVB;BRE;REV Bremerhaven e.V. (REVB)
